Testing Flow,Actual Protocol,Classification Result,Probability,True Positive
225,http,http,0.9009009009009009,True
226,http,bittorrent,0.954,False
227,http,http,0.7081174438687392,True
228,http,http,0.7081174438687392,True
229,http,http,0.9786096256684492,True
230,http,http,0.7081174438687392,True
231,http,http,0.7081174438687392,True
232,http,http,0.9786096256684492,True
233,http,http,0.7081174438687392,True
234,http,http,0.9786096256684492,True
235,http,http,0.7081174438687392,True
236,http,http,0.9786096256684492,True
237,http,http,0.7081174438687392,True
238,http,http,0.9767025089605734,True
239,http,http,0.9621212121212122,True
240,http,bittorrent,0.954,False
241,http,http,0.9546191247974068,True
242,http,http,0.8962025316455696,True
243,http,http,0.6960950764006791,True
244,http,http,0.7081174438687392,True
245,http,http,0.9786223277909739,True
246,http,http,0.7081174438687392,True
247,http,http,0.9786223277909739,True
248,http,http,0.9786223277909739,True
249,http,http,0.900804289544236,True
250,http,http,0.900804289544236,True
251,http,http,0.900804289544236,True
252,http,http,0.900804289544236,True
253,http,http,0.900804289544236,True
254,http,http,0.900804289544236,True
255,http,http,0.900804289544236,True
256,http,http,0.900804289544236,True
257,http,http,0.900804289544236,True
258,http,http,0.900804289544236,True
259,http,http,0.900804289544236,True
260,http,http,0.900804289544236,True
261,http,http,0.900804289544236,True
262,http,http,0.6960950764006791,True
263,http,http,0.6960950764006791,True
264,http,http,0.907035175879397,True
265,http,http,0.907035175879397,True
266,http,http,0.6960950764006791,True
267,http,http,0.6960950764006791,True
268,http,http,0.6960950764006791,True
269,http,http,0.6960950764006791,True
270,http,http,0.6960950764006791,True
271,http,http,0.6960950764006791,True
272,http,http,0.6960950764006791,True
273,http,http,0.6960950764006791,True
274,http,http,0.6960950764006791,True
275,http,http,0.8962025316455696,True
276,http,http,0.6960950764006791,True
277,http,http,0.6960950764006791,True
278,http,http,0.907035175879397,True
279,http,http,0.6960950764006791,True
280,http,http,0.6960950764006791,True
281,http,http,0.6960950764006791,True
282,http,http,0.6960950764006791,True
283,http,http,0.6960950764006791,True
284,http,http,0.6960950764006791,True
285,http,http,0.6960950764006791,True
286,http,http,0.6960950764006791,True
287,http,http,0.6960950764006791,True
288,http,http,0.6960950764006791,True
289,http,http,0.6960950764006791,True
290,http,http,0.6960950764006791,True
291,http,http,0.6960950764006791,True
