Testing Flow,Actual Protocol,Classification Result,Probability,True Positive
112,http,http,0.7542372881355932,True
113,http,http,0.8394557823129252,True
114,http,http,0.7542372881355932,True
115,http,http,0.8394557823129252,True
116,http,http,0.7936507936507936,True
117,http,http,0.8394557823129252,True
118,http,http,0.7936507936507936,True
119,http,http,0.8394557823129252,True
120,http,http,0.7542372881355932,True
121,http,http,0.8394557823129252,True
122,http,http,0.7936507936507936,True
123,http,http,0.8394557823129252,True
124,http,http,0.7542372881355932,True
125,http,http,0.8394557823129252,True
126,http,http,0.8850102669404517,True
127,http,http,0.8394557823129252,True
128,http,http,0.7542372881355932,True
129,http,http,0.8394557823129252,True
130,http,http,0.756544502617801,True
131,http,http,0.8394557823129252,True
132,http,http,0.7542372881355932,True
133,http,http,0.8394557823129252,True
134,http,http,0.7542372881355932,True
135,http,http,0.8394557823129252,True
136,http,http,0.7542372881355932,True
137,http,http,0.8394557823129252,True
138,http,http,0.7936507936507936,True
139,http,http,0.7542372881355932,True
140,http,http,0.9876288659793815,True
141,http,http,0.8394557823129252,True
142,http,http,0.9876288659793815,True
143,http,http,0.9876288659793815,True
144,http,http,0.9679358717434869,True
145,http,http,0.9707006369426752,True
146,http,http,0.9679358717434869,True
147,http,http,0.875,True
148,http,http,0.9876288659793815,True
149,http,http,0.8394557823129252,True
150,http,http,0.8805970149253731,True
151,http,http,0.8805970149253731,True
152,http,http,0.9722627737226277,True
153,http,http,0.8805970149253731,True
154,http,http,0.875,True
155,http,bittorrent,0.6824324324324325,False
156,http,http,0.8805970149253731,True
157,http,http,0.9707006369426752,True
158,http,http,0.9707006369426752,True
159,http,http,0.9876288659793815,True
160,http,http,0.8850102669404517,True
161,http,http,0.8850102669404517,True
162,http,bittorrent,0.6824324324324325,False
163,http,http,0.875,True
164,http,bittorrent,0.6960431654676259,False
165,http,http,0.9876288659793815,True
166,http,http,0.875,True
167,http,http,0.8805970149253731,True
168,http,http,0.9679358717434869,True
169,http,http,0.8805970149253731,True
170,http,http,0.875,True
171,http,bittorrent,0.6824324324324325,False
172,http,bittorrent,0.6960431654676259,False
173,http,http,0.8394557823129252,True
174,http,http,0.9672131147540983,True
175,http,http,0.9672131147540983,True
176,http,http,0.9672131147540983,True
177,http,http,0.9672131147540983,True
178,http,http,0.9672131147540983,True
179,http,http,0.9672131147540983,True
180,http,http,0.9672131147540983,True
181,http,http,0.9679358717434869,True
182,http,http,0.9672131147540983,True
183,http,http,0.9672131147540983,True
184,http,http,0.9672131147540983,True
185,http,http,0.9672131147540983,True
186,http,http,0.9672131147540983,True
187,http,http,0.9672131147540983,True
188,http,http,0.9679358717434869,True
189,http,http,0.9672131147540983,True
190,http,http,0.9672131147540983,True
191,http,http,0.9672131147540983,True
192,http,bittorrent,0.9782157676348547,False
193,http,bittorrent,0.9782157676348547,False
194,http,bittorrent,0.9954988747186797,False
195,http,bittorrent,0.9782157676348547,False
196,http,http,0.8394557823129252,True
197,http,http,0.9876288659793815,True
198,http,http,0.9876288659793815,True
199,http,http,0.8850102669404517,True
200,http,http,0.8850102669404517,True
201,http,http,0.8850102669404517,True
202,http,http,0.8850102669404517,True
203,http,http,0.8850102669404517,True
204,http,http,0.9707006369426752,True
205,http,http,0.9707006369426752,True
206,http,http,0.9876288659793815,True
207,http,http,0.8805970149253731,True
208,http,http,0.7542372881355932,True
209,http,http,0.9722627737226277,True
210,http,http,0.8850102669404517,True
211,http,http,0.9722627737226277,True
212,http,http,0.9679358717434869,True
213,http,http,0.875,True
214,http,http,0.875,True
215,http,http,0.875,True
216,http,http,0.875,True
217,http,http,0.875,True
218,http,http,0.875,True
219,http,http,0.875,True
220,http,http,0.875,True
221,http,http,0.875,True
222,http,http,0.875,True
223,http,http,0.875,True
224,http,http,0.875,True
225,http,http,0.875,True
226,http,http,0.8805970149253731,True
227,http,http,0.7936507936507936,True
228,http,http,0.643979057591623,True
229,http,http,0.7542372881355932,True
230,http,http,0.7542372881355932,True
231,http,http,0.643979057591623,True
232,http,http,0.7542372881355932,True
233,http,http,0.7542372881355932,True
234,http,http,0.7542372881355932,True
235,http,http,0.7542372881355932,True
236,http,http,0.7542372881355932,True
237,http,http,0.7542372881355932,True
238,http,http,0.7542372881355932,True
239,http,http,0.7542372881355932,True
240,http,http,0.7542372881355932,True
241,http,http,0.7936507936507936,True
242,http,http,0.7936507936507936,True
243,http,http,0.7542372881355932,True
244,http,http,0.7936507936507936,True
245,http,http,0.7542372881355932,True
246,http,http,0.7542372881355932,True
247,http,http,0.7542372881355932,True
248,http,http,0.643979057591623,True
249,http,http,0.7936507936507936,True
250,http,http,0.7936507936507936,True
251,http,http,0.7542372881355932,True
